127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002550
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001375
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000725
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002157
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003502
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001804
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/js/ajax_editor.js, HTTP/1.1, 200, 0.000790
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.002149
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/js/typeahead.min.js, HTTP/1.1, 200, 0.002260
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002933
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001230
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000484
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/images/files_toggle.png, HTTP/1.1, 200, 0.000312
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/default/edit/init/views/default/index.html, HTTP/1.1, 200, 0.168323
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/images/save_icon.png, HTTP/1.1, 200, 0.000543
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.169202
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.204484
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.234543
127.0.0.1, 2016-04-04 22:58:13, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.117079
127.0.0.1, 2016-04-04 22:58:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.340144
127.0.0.1, 2016-04-04 22:58:22, POST, /admin/default/edit/init/views/default/index.html, HTTP/1.1, 200, 0.023420
127.0.0.1, 2016-04-04 22:58:31, GET, /, HTTP/1.1, 200, 0.393507
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001364
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000659
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000637
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.001297
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.003243
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.000398
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002160
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002279
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.001634
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.000724
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.000340
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.001452
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000848
127.0.0.1, 2016-04-04 22:58:31, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.000712
